"id";"images";"videos";"raw_description_es";"raw_description_en";"category_es";"category_en";"model";"material_es";"material_en";"sizes_mm";"sizes_inches";"stones_es";"stones_en";"tags";"date";"links";"web_ready";"slug"
"PROD-001";"IMG-20260205-WA0001.jpg";"";"Cardenas still Carol G con piedras zirconia 6,8,10 mm y size 20,22y 24 pulgadas";"";"Cadenas";"Chains";"Carol G";"Zirconia";"Zirconia";"6,8,10";"24";"";"";"Carol G, Cadenas, Zirconia";"5/2/2026";"";"TRUE";"cadenas-carol-g-1"
"PROD-002";"IMG-20260205-WA0002.jpg";"";"Gargantilla Tiffany 14 k size20 y aretes";"";"Gargantillas";"Chokers";"Tiffany";"Oro 14K";"14K Gold";"";"";"";"";"Tiffany, Gargantillas, Oro 14K";"5/2/2026";"";"TRUE";"gargantillas-tiffany-2"
"PROD-003";"IMG-20260205-WA0003.jpg";"";"Cardenas clover de una flor size 16-18 pulgadas y pulsos 7-8 pulgadas";"";"Cadenas";"Chains";"Clover";"";"";"";"16-18, 7-8";"";"";"Clover, Cadenas";"5/2/2026";"";"TRUE";"cadenas-clover-3"
"PROD-004";"IMG-20260205-WA0004.jpg";"";"Juegos de algollas de differences tipos torcidas ,torcidas nevadas, modelo cartier";"";"Aretes";"Earrings";"Cartier";"";"";"";"";"";"";"Cartier, Aretes";"5/2/2026";"";"TRUE";"aretes-cartier-4"
"PROD-005";"IMG-20260205-WA0005.jpg | IMG-20260205-WA0006.jpg";"";"Juego de gargantillas pepper 18pulgadas con su Manila";"";"Gargantillas";"Chokers";"Pepper";"";"";"";"18";"";"";"Pepper, Gargantillas";"5/2/2026";"";"TRUE";"gargantillas-pepper-5"
"PROD-006";"IMG-20260205-WA0007.jpg";"";"Gargantillas modelo visantino con la meduza corazon y pantera size 18-20 pulgadas";"";"Gargantillas";"Chokers";"Visantino";"";"";"";"18-20";"";"";"Visantino, Gargantillas";"5/2/2026";"";"TRUE";"gargantillas-visantino-6"
"PROD-007";"IMG-20260205-WA0008.jpg";"";"Morelos de Cadena Monaco chain de 6-7-8-10-12 mm size de 18-24";"";"Cadenas";"Chains";"Monaco";"";"";"6-7-8-10-12";"";"";"";"Monaco, Cadenas";"5/2/2026";"";"TRUE";"cadenas-monaco-7"
"PROD-008";"IMG-20260205-WA0009.jpg";"";"Modelo de Cadena Gucci de 4-6-8mm differences size";"";"Cadenas";"Chains";"Gucci";"";"";"4-6-8";"";"";"";"Gucci, Cadenas";"5/2/2026";"";"TRUE";"cadenas-gucci-8"
"PROD-009";"IMG-20260205-WA0012.jpg";"";"Cardenas Corte Brillo de 3-4-6-8 mm de todos los size con dines de la cara de cristo y su anillo con la cara de cristo size 11";"";"Cadenas";"Chains";"Corte Brillo";"";"";"3-4-6-8";"";"";"";"Corte Brillo, Cadenas";"5/2/2026";"";"TRUE";"cadenas-corte-brillo-9"
"PROD-010";"IMG-20260205-WA0013.jpg";"";"Gargantilla still Monaco Romani size18 pulgadas 8 mm con corazon y el juego del anillo";"";"Gargantillas";"Chokers";"Monaco, Romani";"";"";"8";"18";"";"";"Monaco, Romani, Gargantillas";"5/2/2026";"";"TRUE";"gargantillas-monaco-romani-10"
"PROD-011";"IMG-20260205-WA0015.jpg";"";"Modelo de Cadena ice 3mm segmentado  en Oro blanco 24 pulgadas";"";"Cadenas";"Chains";"";"Oro Blanco, Oro";"White Gold, Gold";"3";"24";"";"";"Cadenas, Oro Blanco, Oro";"5/2/2026";"";"TRUE";"cadenas-11"
"PROD-012";"IMG-20260205-WA0016.jpg";"";"Rocetas de hombres differentes Modelos solids y semisolidos todos los size";"";"Aretes";"Earrings";"";"";"";"";"";"";"";"Aretes";"5/2/2026";"";"TRUE";"aretes-12"
"PROD-013";"IMG-20260205-WA0017.jpg";"";"Differences tipos de pulsos de mujer de Izquierdo’s a derecha Monaco clover, Monaco con cabeza de pantera, 3 pulsos de la mano de orula igde cartier y Versace, para quince añera,pepper , dos manillas de ovens con chapa ( se personalizab) ponen nombre";"";"Pulseras";"Bracelets";"Clover, Monaco, Pepper, Cartier, Versace";"";"";"";"";"";"";"Clover, Monaco, Pepper, Cartier, Versace, Pulseras";"5/2/2026";"";"TRUE";"pulseras-clover-monaco-pepper-cartier-versace-13"
"PROD-014";"IMG-20260205-WA0018.jpg";"";"Cardenas de iniciales 18-20 pulgadas";"";"Cadenas";"Chains";"";"";"";"";"18-20";"";"";"Cadenas";"5/2/2026";"";"TRUE";"cadenas-14"
"PROD-015";"IMG-20260205-WA0019.jpg";"";"Modelo de Cadena Tenis en zirconia con su pulso";"";"Cadenas";"Chains";"Tenis";"Zirconia";"Zirconia";"";"";"";"";"Tenis, Cadenas, Zirconia";"5/2/2026";"";"TRUE";"cadenas-tenis-15"
"PROD-016";"IMG-20260205-WA0020.jpg";"";"Modelo Torzal o soga 3-4-5mmde todos los size";"";"Cadenas";"Chains";"Torzal";"";"";"3-4-5";"";"";"";"Torzal, Cadenas";"5/2/2026";"";"TRUE";"cadenas-torzal-16"
"PROD-017";"IMG-20260205-WA0021.jpg";"";"Modelo Cuban link en Oro 10 14 k de todos los mm a partir de 2 mm hasta 12 mm size 16-24";"";"Cadenas";"Chains";"Cuban Link";"Oro 10K, Oro 14K, Oro";"10K Gold, 14K Gold, Gold";"2, 12";"";"";"";"Cuban Link, Cadenas, Oro 10K, Oro 14K, Oro";"5/2/2026";"";"TRUE";"cadenas-cuban-link-17"
"PROD-018";"IMG-20260205-WA0022.jpg | IMG-20260205-WA0023.jpg";"";"Differences tipos de gargantillas 18 pulgadas";"";"Gargantillas";"Chokers";"";"";"";"";"18";"";"";"Gargantillas";"5/2/2026";"";"TRUE";"gargantillas-18"
"PROD-019";"IMG-20260205-WA0024.jpg";"";"Gargantilla de pines b";"";"Gargantillas";"Chokers";"";"";"";"";"";"";"";"Gargantillas";"5/2/2026";"";"TRUE";"gargantillas-19"
"PROD-020";"IMG-20260205-WA0035.jpg";"";"Dijes en diamantes naturals";"";"Dijes";"Pendants";"";"Diamantes Naturales, Diamante";"Natural Diamonds, Diamond";"";"";"";"";"Dijes, Diamantes Naturales, Diamante";"5/2/2026";"https://www.instagram.com/p/DDQF-81Shy4/?igsh=MWc4Z240cXR2dHFrcw== | https://www.instagram.com/reel/DPMZIPlDEtU/?igsh=cWV3Mnc2b3huc2gw | https://www.instagram.com/reel/DOy6Q04joMZ/?igsh=MTJtdmNlemJnMDZtOA==";"TRUE";"dijes-20"
"PROD-021";"IMG-20260205-WA0036.jpg | IMG-20260205-WA0037.jpg | IMG-20260205-WA0038.jpg | IMG-20260205-WA0039.jpg | IMG-20260205-WA0041.jpg | IMG-20260205-WA0042.jpg";"VID-20260206-WA0075.mp4";"Cadena still Tenis en diamantes naturals";"";"Cadenas";"Chains";"Tenis";"Diamantes Naturales, Diamante";"Natural Diamonds, Diamond";"";"";"";"";"Tenis, Cadenas, Diamantes Naturales, Diamante";"5/2/2026";"";"TRUE";"cadenas-tenis-21"
