ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Tags,Images
,simple,PROD-001,"Cardenas still Carol G con piedras zirconia 6,8,10 mm y size 20,22y 24 pulgadas",1,0,visible,"Cardenas still Carol G con piedras zirconia 6,8,10 mm y size 20,22y 24 pulgadas","<p><strong>ES:</strong> Cardenas still Carol G con piedras zirconia 6,8,10 mm y size 20,22y 24 pulgadas</p>
<ul><li><strong>Modelo:</strong> Carol G</li><li><strong>Material:</strong> Zirconia</li><li><strong>Grosor:</strong> 6,8,10 mm</li><li><strong>Largo:</strong> 24 pulgadas</li></ul>",taxable,1,,Cadenas > Chains,"Carol G, Cadenas, Zirconia",images/full\cadenas-carol-g-1-01.jpg
,simple,PROD-002,Gargantilla Tiffany 14 k size20 y aretes,1,0,visible,Gargantilla Tiffany 14 k size20 y aretes,"<p><strong>ES:</strong> Gargantilla Tiffany 14 k size20 y aretes</p>
<ul><li><strong>Modelo:</strong> Tiffany</li><li><strong>Material:</strong> Oro 14K</li></ul>",taxable,1,,Gargantillas > Chokers,"Tiffany, Gargantillas, Oro 14K",images/full\gargantillas-tiffany-2-01.jpg
,simple,PROD-003,Cardenas clover de una flor size 16-18 pulgadas y pulsos 7-8 pulgadas,1,0,visible,Cardenas clover de una flor size 16-18 pulgadas y pulsos 7-8 pulgadas,"<p><strong>ES:</strong> Cardenas clover de una flor size 16-18 pulgadas y pulsos 7-8 pulgadas</p>
<ul><li><strong>Modelo:</strong> Clover</li><li><strong>Largo:</strong> 16-18, 7-8 pulgadas</li></ul>",taxable,1,,Cadenas > Chains,"Clover, Cadenas",images/full\cadenas-clover-3-01.jpg
,simple,PROD-004,"Juegos de algollas de differences tipos torcidas ,torcidas nevadas, modelo cartier",1,0,visible,"Juegos de algollas de differences tipos torcidas ,torcidas nevadas, modelo cartier","<p><strong>ES:</strong> Juegos de algollas de differences tipos torcidas ,torcidas nevadas, modelo cartier</p>
<ul><li><strong>Modelo:</strong> Cartier</li></ul>",taxable,1,,Aretes > Earrings,"Cartier, Aretes",images/full\aretes-cartier-4-01.jpg
,simple,PROD-005,Juego de gargantillas pepper 18pulgadas con su Manila,1,0,visible,Juego de gargantillas pepper 18pulgadas con su Manila,"<p><strong>ES:</strong> Juego de gargantillas pepper 18pulgadas con su Manila</p>
<ul><li><strong>Modelo:</strong> Pepper</li><li><strong>Largo:</strong> 18 pulgadas</li></ul>",taxable,1,,Gargantillas > Chokers,"Pepper, Gargantillas","images/full\gargantillas-pepper-5-01.jpg, images/full\gargantillas-pepper-5-02.jpg"
,simple,PROD-006,Gargantillas modelo visantino con la meduza corazon y pantera size 18-20 pulgadas,1,0,visible,Gargantillas modelo visantino con la meduza corazon y pantera size 18-20 pulgadas,"<p><strong>ES:</strong> Gargantillas modelo visantino con la meduza corazon y pantera size 18-20 pulgadas</p>
<ul><li><strong>Modelo:</strong> Visantino</li><li><strong>Largo:</strong> 18-20 pulgadas</li></ul>",taxable,1,,Gargantillas > Chokers,"Visantino, Gargantillas",images/full\gargantillas-visantino-6-01.jpg
,simple,PROD-007,Morelos de Cadena Monaco chain de 6-7-8-10-12 mm size de 18-24,1,0,visible,Morelos de Cadena Monaco chain de 6-7-8-10-12 mm size de 18-24,"<p><strong>ES:</strong> Morelos de Cadena Monaco chain de 6-7-8-10-12 mm size de 18-24</p>
<ul><li><strong>Modelo:</strong> Monaco</li><li><strong>Grosor:</strong> 6-7-8-10-12 mm</li></ul>",taxable,1,,Cadenas > Chains,"Monaco, Cadenas",images/full\cadenas-monaco-7-01.jpg
,simple,PROD-008,Modelo de Cadena Gucci de 4-6-8mm differences size,1,0,visible,Modelo de Cadena Gucci de 4-6-8mm differences size,"<p><strong>ES:</strong> Modelo de Cadena Gucci de 4-6-8mm differences size</p>
<ul><li><strong>Modelo:</strong> Gucci</li><li><strong>Grosor:</strong> 4-6-8 mm</li></ul>",taxable,1,,Cadenas > Chains,"Gucci, Cadenas",images/full\cadenas-gucci-8-01.jpg
,simple,PROD-009,Cardenas Corte Brillo de 3-4-6-8 mm de todos los size con dines de la cara de cristo y su anillo con la cara de crist...,1,0,visible,Cardenas Corte Brillo de 3-4-6-8 mm de todos los size con dines de la cara de cristo y su anillo con la cara de cristo size 11,"<p><strong>ES:</strong> Cardenas Corte Brillo de 3-4-6-8 mm de todos los size con dines de la cara de cristo y su anillo con la cara de cristo size 11</p>
<ul><li><strong>Modelo:</strong> Corte Brillo</li><li><strong>Grosor:</strong> 3-4-6-8 mm</li></ul>",taxable,1,,Cadenas > Chains,"Corte Brillo, Cadenas",images/full\cadenas-corte-brillo-9-01.jpg
,simple,PROD-010,Gargantilla still Monaco Romani size18 pulgadas 8 mm con corazon y el juego del anillo,1,0,visible,Gargantilla still Monaco Romani size18 pulgadas 8 mm con corazon y el juego del anillo,"<p><strong>ES:</strong> Gargantilla still Monaco Romani size18 pulgadas 8 mm con corazon y el juego del anillo</p>
<ul><li><strong>Modelo:</strong> Monaco, Romani</li><li><strong>Grosor:</strong> 8 mm</li><li><strong>Largo:</strong> 18 pulgadas</li></ul>",taxable,1,,Gargantillas > Chokers,"Monaco, Romani, Gargantillas",images/full\gargantillas-monaco-romani-10-01.jpg
